player_url;short_name;long_name;value_eur;club_name;league_name;club_position;club_jersey_number;club_loaned_from;club_joined;club_contract_valid_until;nationality_name;player_face_url;club_logo_url;club_flag_url;nation_logo_url;nation_flag_url
https://sofifa.com/player/248080/filipe-guterres-nascimento/220002;Filipe Nascimento;Filipe Guterres Nascimento;1300000.0;Radomiak Radom;Polish T-Mobile Ekstraklasa;LDM;23;;21.02.2021;2023;Portugal;https://cdn.sofifa.net/players/248/080/22_120.png;https://cdn.sofifa.net/teams/111088/60.png;https://cdn.sofifa.net/flags/pl.png;;https://cdn.sofifa.net/flags/pt.png
https://sofifa.com/player/251019/tomas-petrasek/220002;T. Petrášek;Tomáš Petrášek;950000.0;Raków Częstochowa;Polish T-Mobile Ekstraklasa;SUB;2;;01.07.2016;2023;Czech Republic;https://cdn.sofifa.net/players/251/019/22_120.png;https://cdn.sofifa.net/teams/114326/60.png;https://cdn.sofifa.net/flags/pl.png;;https://cdn.sofifa.net/flags/cz.png
https://sofifa.com/player/251026/petr-schwarz/220002;P. Schwarz;Petr Schwarz;1000000.0;Śląsk Wrocław;Polish T-Mobile Ekstraklasa;LCM;17;;01.07.2021;2023;Czech Republic;https://cdn.sofifa.net/players/251/026/22_120.png;https://cdn.sofifa.net/teams/111092/60.png;https://cdn.sofifa.net/flags/pl.png;;https://cdn.sofifa.net/flags/cz.png
https://sofifa.com/player/251362/dino-stiglec/220002;D. Štiglec;Dino Štiglec;875000.0;Śląsk Wrocław;Polish T-Mobile Ekstraklasa;SUB;4;;01.07.2019;2022;Croatia;https://cdn.sofifa.net/players/251/362/22_120.png;https://cdn.sofifa.net/teams/111092/60.png;https://cdn.sofifa.net/flags/pl.png;;https://cdn.sofifa.net/flags/hr.png
https://sofifa.com/player/257620/dor-hugi/220002;D. Hugi;Dor Hugi;1200000.0;Wisła Kraków;Polish T-Mobile Ekstraklasa;SUB;7;;01.07.2021;2024;Israel;https://cdn.sofifa.net/players/257/620/22_120.png;https://cdn.sofifa.net/teams/1873/60.png;https://cdn.sofifa.net/flags/pl.png;;https://cdn.sofifa.net/flags/il.png
https://sofifa.com/player/258276/joel-vieira-pereira/220002;Joel Pereira;Joel Vieira Pereira;1300000.0;Lech Poznań;Polish T-Mobile Ekstraklasa;SUB;2;;01.07.2021;2025;Portugal;https://cdn.sofifa.net/players/258/276/22_120.png;https://cdn.sofifa.net/teams/873/60.png;https://cdn.sofifa.net/flags/pl.png;;https://cdn.sofifa.net/flags/pt.png
https://sofifa.com/player/258599/robert-ivanov/220002;R. Ivanov;Robert Ivanov;1300000.0;Warta Poznań;Polish T-Mobile Ekstraklasa;LCB;4;;01.09.2020;2022;Finland;https://cdn.sofifa.net/players/258/599/22_120.png;https://cdn.sofifa.net/teams/112511/60.png;https://cdn.sofifa.net/flags/pl.png;https://cdn.sofifa.net/teams/1334/60.png;https://cdn.sofifa.net/flags/fi.png
https://sofifa.com/player/260807/nika-kvekveskiri/220002;N. Kvekveskiri;Nika Kvekveskiri;1000000.0;Lech Poznań;Polish T-Mobile Ekstraklasa;SUB;30;;29.01.2021;2023;Georgia;https://cdn.sofifa.net/players/260/807/22_120.png;https://cdn.sofifa.net/teams/873/60.png;https://cdn.sofifa.net/flags/pl.png;;https://cdn.sofifa.net/flags/ge.png
https://sofifa.com/player/172756/tomasz-jodlowiec/220002;T. Jodłowiec;Tomasz Jodłowiec;240000.0;Piast Gliwice;Polish T-Mobile Ekstraklasa;RES;3;;02.09.2019;2022;Poland;https://cdn.sofifa.net/players/172/756/22_120.png;https://cdn.sofifa.net/teams/111086/60.png;https://cdn.sofifa.net/flags/pl.png;;https://cdn.sofifa.net/flags/pl.png
https://sofifa.com/player/181205/adam-hlousek/220002;A. Hloušek;Adam Hloušek;600000.0;Bruk-Bet Termalica Nieciecza;Polish T-Mobile Ekstraklasa;LWB;14;;03.07.2021;2022;Czech Republic;https://cdn.sofifa.net/players/181/205/22_120.png;https://cdn.sofifa.net/teams/112510/60.png;https://cdn.sofifa.net/flags/pl.png;;https://cdn.sofifa.net/flags/cz.png
